DATE,SKEW
01/02/1990,126.090000
01/03/1990,123.340000
01/04/1990,122.620000
01/05/1990,121.270000
01/08/1990,124.120000
01/09/1990,119.820000
01/10/1990,120.820000
01/11/1990,107.480000
01/12/1990,116.780000
01/15/1990,116.160000
01/16/1990,120.620000
01/17/1990,123.030000
01/18/1990,131.140000
01/19/1990,129.310000
01/22/1990,118.950000
01/23/1990,117.940000
01/24/1990,128.750000
01/25/1990,124.330000
01/26/1990,122.760000
01/29/1990,124.600000
01/30/1990,120.910000
01/31/1990,128.220000
02/01/1990,129.530000
02/02/1990,132.530000
02/05/1990,121.220000
02/06/1990,120.300000
02/07/1990,123.350000
02/08/1990,124.870000
02/09/1990,126.060000
02/12/1990,126.990000
02/13/1990,133.060000
02/14/1990,131.550000
02/15/1990,139.070000
02/16/1990,136.610000
02/20/1990,126.470000
02/21/1990,129.170000
02/22/1990,124.800000
02/23/1990,125.820000
02/26/1990,130.690000
02/27/1990,131.450000
02/28/1990,123.100000
03/01/1990,123.960000
03/02/1990,126.440000
03/05/1990,124.240000
03/06/1990,124.860000
03/07/1990,121.080000
03/08/1990,124.460000
03/09/1990,125.600000
03/12/1990,129.690000
03/13/1990,128.070000
03/14/1990,131.820000
03/15/1990,133.020000
03/16/1990,136.730000
03/19/1990,138.690000
03/20/1990,134.200000
03/21/1990,132.580000
03/22/1990,129.800000
03/23/1990,130.760000
03/26/1990,129.900000
03/27/1990,135.330000
03/28/1990,133.510000
03/29/1990,131.200000
03/30/1990,111.330000
04/02/1990,126.460000
04/03/1990,117.630000
04/04/1990,114.130000
04/05/1990,114.420000
04/06/1990,114.910000
04/09/1990,117.600000
04/10/1990,119.090000
04/11/1990,108.870000
04/12/1990,121.520000
04/16/1990,126.050000
04/17/1990,131.240000
04/18/1990,122.740000
04/19/1990,120.770000
04/20/1990,120.880000
04/23/1990,120.030000
04/24/1990,124.560000
04/25/1990,127.030000
04/26/1990,124.510000
04/27/1990,118.840000
04/30/1990,110.490000
05/01/1990,111.990000
05/02/1990,128.490000
05/03/1990,114.270000
05/04/1990,116.350000
05/07/1990,117.220000
05/08/1990,117.830000
05/09/1990,117.270000
05/10/1990,119.500000
05/11/1990,119.510000
05/14/1990,123.120000
05/15/1990,125.100000
05/16/1990,125.700000
05/17/1990,121.950000
05/18/1990,124.680000
05/21/1990,127.350000
05/22/1990,124.880000
05/23/1990,118.800000
05/24/1990,117.300000
05/25/1990,111.930000
05/29/1990,122.180000
05/30/1990,119.880000
05/31/1990,120.210000
06/01/1990,119.330000
06/04/1990,122.780000
06/05/1990,121.220000
06/06/1990,121.450000
06/07/1990,123.990000
06/08/1990,122.130000
06/11/1990,132.140000
06/12/1990,132.610000
06/13/1990,131.510000
06/14/1990,132.450000
06/15/1990,138.310000
06/18/1990,133.310000
06/19/1990,136.210000
06/20/1990,139.120000
06/21/1990,142.570000
06/22/1990,139.620000
06/25/1990,106.800000
06/26/1990,104.650000
06/27/1990,106.540000
06/28/1990,107.420000
06/29/1990,107.310000
07/02/1990,108.160000
07/03/1990,107.620000
07/05/1990,105.080000
07/06/1990,107.270000
07/09/1990,106.500000
07/10/1990,105.190000
07/11/1990,107.840000
07/12/1990,109.710000
07/13/1990,109.330000
07/16/1990,108.650000
07/17/1990,107.650000
07/18/1990,133.750000
07/19/1990,137.940000
07/20/1990,109.710000
07/23/1990,127.130000
07/24/1990,127.610000
07/25/1990,130.850000
07/26/1990,131.000000
07/27/1990,127.620000
07/30/1990,132.440000
07/31/1990,132.070000
08/01/1990,131.010000
08/02/1990,110.080000
08/03/1990,119.600000
08/06/1990,114.650000
08/07/1990,119.090000
08/08/1990,125.190000
08/09/1990,128.900000
08/10/1990,123.010000
08/13/1990,119.340000
08/14/1990,120.520000
08/15/1990,120.040000
08/16/1990,117.180000
08/17/1990,117.360000
08/20/1990,118.360000
08/21/1990,114.520000
08/22/1990,112.490000
08/23/1990,110.920000
08/24/1990,113.420000
08/27/1990,117.690000
08/28/1990,117.900000
08/29/1990,118.630000
08/30/1990,116.740000
08/31/1990,119.480000
09/04/1990,119.920000
09/05/1990,119.880000
09/06/1990,116.980000
09/07/1990,117.820000
09/10/1990,118.770000
09/11/1990,119.160000
09/12/1990,118.280000
09/13/1990,116.910000
09/14/1990,119.030000
09/17/1990,116.800000
09/18/1990,117.490000
09/19/1990,116.480000
09/20/1990,115.880000
09/21/1990,118.220000
09/24/1990,111.300000
09/25/1990,115.720000
09/26/1990,114.760000
09/27/1990,112.850000
09/28/1990,113.240000
10/01/1990,116.560000
10/02/1990,116.810000
10/03/1990,115.600000
10/04/1990,116.160000
10/05/1990,117.230000
10/08/1990,116.490000
10/09/1990,112.800000
10/10/1990,110.650000
10/11/1990,109.780000
10/12/1990,111.920000
10/15/1990,112.350000
10/16/1990,111.070000
10/17/1990,111.740000
10/18/1990,114.650000
10/19/1990,117.560000
10/22/1990,116.110000
10/23/1990,115.130000
10/24/1990,116.170000
10/25/1990,114.750000
10/26/1990,111.790000
10/29/1990,112.350000
10/30/1990,113.420000
10/31/1990,113.970000
11/01/1990,112.530000
11/02/1990,115.290000
11/05/1990,114.480000
11/06/1990,114.470000
11/07/1990,114.590000
11/08/1990,114.660000
11/09/1990,117.110000
11/12/1990,115.570000
11/13/1990,116.100000
11/14/1990,117.020000
11/15/1990,116.970000
11/16/1990,119.970000
11/19/1990,121.280000
11/20/1990,118.280000
11/21/1990,119.280000
11/23/1990,116.370000
11/26/1990,118.330000
11/27/1990,119.450000
11/28/1990,120.150000
11/29/1990,117.710000
11/30/1990,122.650000
12/03/1990,122.240000
12/04/1990,124.370000
12/05/1990,127.380000
12/06/1990,126.310000
12/07/1990,124.430000
12/10/1990,125.100000
12/11/1990,125.980000
12/12/1990,128.570000
12/13/1990,122.570000
12/14/1990,122.140000
12/17/1990,120.450000
12/18/1990,123.990000
12/19/1990,126.310000
12/20/1990,122.350000
12/21/1990,129.610000
12/24/1990,121.290000
12/26/1990,127.300000
12/27/1990,124.790000
12/28/1990,127.590000
12/31/1990,126.570000
01/02/1991,121.350000
01/03/1991,122.760000
01/04/1991,121.950000
01/07/1991,118.120000
01/08/1991,116.760000
01/09/1991,114.260000
01/10/1991,117.280000
01/11/1991,114.580000
01/14/1991,112.380000
01/15/1991,112.710000
01/16/1991,115.850000
01/17/1991,121.720000
01/18/1991,125.610000
01/21/1991,122.410000
01/22/1991,117.940000
01/23/1991,118.150000
01/24/1991,121.900000
01/25/1991,124.200000
01/28/1991,122.910000
01/29/1991,122.530000
01/30/1991,127.440000
01/31/1991,121.650000
02/01/1991,121.250000
02/04/1991,123.210000
02/05/1991,123.920000
02/06/1991,121.100000
02/07/1991,121.240000
02/08/1991,121.050000
02/11/1991,121.530000
02/12/1991,121.190000
02/13/1991,123.690000
02/14/1991,120.580000
02/15/1991,118.940000
02/19/1991,112.380000
02/20/1991,114.960000
02/21/1991,113.820000
02/22/1991,114.920000
02/25/1991,114.760000
02/26/1991,108.570000
02/27/1991,117.380000
02/28/1991,116.370000
03/01/1991,116.360000
03/04/1991,117.930000
03/05/1991,122.890000
03/06/1991,119.400000
03/07/1991,118.560000
03/08/1991,118.510000
03/11/1991,123.920000
03/12/1991,125.660000
03/13/1991,131.940000
03/14/1991,101.790000
03/15/1991,102.730000
03/18/1991,103.530000
03/19/1991,101.230000
03/20/1991,102.810000
03/21/1991,101.310000
03/22/1991,103.400000
03/25/1991,104.070000
03/26/1991,106.650000
