strategy,start,end,trading_days,total_return,cagr,annual_volatility,sharpe_excess_bil,sortino_excess_bil,max_drawdown,daily_var_95,daily_cvar_95,worst_1d,worst_5d,worst_20d,worst_63d,average_asset_weight,average_cash_weight,annual_turnover,transaction_cost_total,drawdown_peak_date,drawdown_trough_date,recovery_date,recovery_trading_days,recovered
BIL_like_Cash,2016-07-25,2026-07-24,2515,0.2597994333982354,0.023373723576610717,0.0012100467587998504,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2016-07-25,2016-07-25,2016-07-25,0,True
QQQ_BuyHold,2016-07-25,2026-07-24,2515,5.460476946110677,0.20520173311642176,0.2245548714265279,0.8422018344455996,1.193251958755497,-0.35122525674823246,-0.022635024021669205,-0.033654591884161304,-0.11978787563689297,-0.1619641760007563,-0.2784691442209343,-0.23504890099788023,1.0,0.0,0.0,0.0,2021-12-27,2022-11-03,2023-12-13,494,True
QQQ_Haven_35_20_45,2016-07-25,2026-07-24,2515,1.6521664667622553,0.10249716517249641,0.11345706974208516,0.7143186656697106,1.0198305259884848,-0.2484773310744035,-0.01050517566045221,-0.017902451783233256,-0.04311995268959893,-0.08921738776367605,-0.12310721757954757,-0.20668789365284956,0.4347465208747514,0.5652534791252486,1.9337941659819233,0.009665000000000002,2021-12-27,2022-12-28,2024-05-13,597,True
QQQ_Haven_50_15_35,2016-07-25,2026-07-24,2515,2.306846013061326,0.12710074573903984,0.13720822857914336,0.7735582646995203,1.101311652075115,-0.27296205541188234,-0.013366568791137644,-0.021218736852440294,-0.06108899713037097,-0.09435990246761028,-0.14616192342553325,-0.21388199611171477,0.5660049701789265,0.4339950298210735,1.4956142152834837,0.007475000000000001,2021-12-27,2022-12-28,2024-01-29,524,True
QQQ_Haven_60_10_30,2016-07-25,2026-07-24,2515,2.826015429215746,0.14366442909644905,0.1553434830263065,0.7944550633065508,1.129676650486653,-0.2936812723407486,-0.015536440758753255,-0.023807592249357384,-0.07306836009088566,-0.10005990101592221,-0.17388425797934937,-0.22302359145649142,0.6566341948310139,0.34336580516898607,1.2765242399342644,0.0063799999999999985,2021-12-27,2022-12-28,2024-01-19,518,True
QQQ_Static35,2016-07-25,2026-07-24,2515,1.364570425770848,0.08990985830269782,0.0786019598786647,0.8422018344455994,1.193251958755497,-0.1259815829968841,-0.007885772777457323,-0.011731311598216346,-0.04192201639354746,-0.057854758356924774,-0.10204649460472881,-0.08439927730542773,0.3500000000000001,0.6499999999999999,0.0,0.0,2021-12-27,2022-10-14,2023-06-12,366,True
TQQQ_BuyHold,2016-07-25,2026-07-24,2515,29.171873424153503,0.4061155680414994,0.6645241405423427,0.8154314065185951,1.1515253771833345,-0.8155077679113989,-0.06609030208166353,-0.10017811650985645,-0.3446446164672766,-0.4480234405059046,-0.6747826086956523,-0.6045477014335148,1.0,0.0,0.0,0.0,2021-11-19,2022-12-28,2024-07-10,660,True
TQQQ_Haven_35_20_45,2016-07-25,2026-07-24,2515,6.4128081119789115,0.22189536874203442,0.3363733410014267,0.6966051069530073,0.9926206540611326,-0.6446814687049136,-0.031643189369241286,-0.05332093545636497,-0.12406837938853704,-0.2504642710178048,-0.33983363293218605,-0.5311032259918993,0.4347465208747514,0.5652534791252486,1.9337941659819233,0.009665000000000002,2021-11-19,2022-12-28,2025-07-03,906,True
TQQQ_Haven_50_15_35,2016-07-25,2026-07-24,2515,10.633260573469366,0.27824449064241374,0.40650373822366836,0.7521019351943575,1.0681414297303355,-0.6908689164981943,-0.04030521829997343,-0.06313829977090962,-0.17576593495386664,-0.2638862346546744,-0.3945621209492236,-0.5492122253816394,0.5660049701789265,0.4339950298210735,1.4956142152834837,0.007475000000000001,2021-11-19,2022-12-28,2025-06-10,890,True
TQQQ_Haven_60_10_30,2016-07-25,2026-07-24,2515,14.048799123019165,0.31159140414107744,0.46009371099467306,0.7715503203691785,1.094177269605528,-0.7265246796471013,-0.046161777443484917,-0.07081762572525002,-0.21023097199741966,-0.28731366473850106,-0.46013679227209925,-0.5696949483399558,0.6566341948310139,0.34336580516898607,1.2765242399342644,0.0063799999999999985,2021-11-19,2022-12-28,2025-06-24,899,True
TQQQ_Static35,2016-07-25,2026-07-24,2515,5.376698267820835,0.20362900078395008,0.23258641439780192,0.8154314065185952,1.1515253771833345,-0.37428224084227724,-0.023055230728582232,-0.0350153717686236,-0.12062187568418173,-0.1698009844081243,-0.28346270665668305,-0.2486415749901627,0.3500000000000001,0.6499999999999999,0.0,0.0,2021-11-19,2022-12-28,2023-12-18,521,True
