event_id,start,end,completed,trading_days,low_date,max_P,max_S,max_deployment_fraction,ndx_return_during_event,ndx_max_drawdown_from_start
1,2018-02-06,2018-05-22,True,74,2018-02-08,63.70939474087197,81.73819008643908,1.0,0.03414951740029237,-0.05398756071875388
2,2018-10-09,2019-02-28,True,97,2018-12-24,88.91038721237744,89.05196835770153,1.0,-0.03718178636446268,-0.1997213638250479
3,2019-05-13,2019-07-15,True,44,2019-06-03,69.0354884558584,73.47230680991316,1.0,0.08776469014067212,-0.047256124618214046
4,2019-08-06,2019-09-20,True,33,2019-08-23,67.57416030144707,88.31649982377303,1.0,0.04018310615689802,-0.007489376864699304
5,2020-02-25,2020-08-12,True,119,2020-03-20,95.54720156555776,91.33745463863262,1.0,0.26291841306097297,-0.20833130538423328
6,2020-09-08,2020-11-20,True,54,2020-09-23,65.5328502358126,87.07424805770484,1.0,0.07572825358276725,-0.0212255584888682
7,2021-12-03,2022-01-05,True,23,2021-12-20,60.42622201227086,81.24089215265685,1.0,0.0038021797296849957,-0.005371676752350507
8,2022-01-24,2022-08-18,True,144,2022-06-16,68.41740813683197,81.21849685820276,1.0,-0.069167405259146,-0.23308807008886545
9,2022-08-30,2023-01-23,True,100,2022-12-28,65.72881253101843,80.69858619123325,1.0,-0.03809215163618984,-0.1347646787169744
10,2024-08-07,2024-08-26,True,14,2024-08-07,52.92429244782365,72.88280423280423,1.0,0.09229506077279415,0.0
11,2025-04-04,2025-05-22,True,34,2025-04-08,73.94711382300797,82.1912037037037,1.0,0.2135207527431786,-0.017663254338217027
