strategy,period,start,end,return,max_drawdown,worst_day
QQQ_Haven_35_20_45,2018_Q4,2018-10-01,2018-12-31,-0.08321221403767154,-0.10804834055347134,-0.030667495601830817
QQQ_Haven_35_20_45,COVID_crash_recovery,2020-02-19,2020-04-30,0.03670896657151346,-0.10691644223656349,-0.04311995268959893
QQQ_Haven_35_20_45,2022_bear,2022-01-03,2022-12-30,-0.226352008126539,-0.24663850726002423,-0.040285270072430365
QQQ_Haven_50_15_35,2018_Q4,2018-10-01,2018-12-31,-0.10308408765732335,-0.1370310588252701,-0.03258978203329445
QQQ_Haven_50_15_35,COVID_crash_recovery,2020-02-19,2020-04-30,0.01516712112845009,-0.15044616219458185,-0.06108899713037097
QQQ_Haven_50_15_35,2022_bear,2022-01-03,2022-12-30,-0.24998421076502264,-0.270837049515519,-0.04280497197179853
QQQ_Haven_60_10_30,2018_Q4,2018-10-01,2018-12-31,-0.1172872925280608,-0.15692973203921257,-0.034512068464758086
QQQ_Haven_60_10_30,COVID_crash_recovery,2020-02-19,2020-04-30,0.001919450689901847,-0.1788348678127274,-0.07306836009088566
QQQ_Haven_60_10_30,2022_bear,2022-01-03,2022-12-30,-0.2699181674772986,-0.29136824312616283,-0.04532467387116669
QQQ_BuyHold,2018_Q4,2018-10-01,2018-12-31,-0.16727408136982802,-0.22693983993124556,-0.045766722456282105
QQQ_BuyHold,COVID_crash_recovery,2020-02-19,2020-04-30,-0.06541227066504762,-0.28559372098911306,-0.11978787563689297
QQQ_BuyHold,2022_bear,2022-01-03,2022-12-30,-0.32578563775428293,-0.34831798096190203,-0.05483684108901343
TQQQ_Haven_35_20_45,2018_Q4,2018-10-01,2018-12-31,-0.25560203726505815,-0.31313279053820975,-0.08794230984407216
TQQQ_Haven_35_20_45,COVID_crash_recovery,2020-02-19,2020-04-30,0.04883744554515501,-0.30379626527627834,-0.12406837938853704
TQQQ_Haven_35_20_45,2022_bear,2022-01-03,2022-12-30,-0.6118920697021567,-0.6409391319004334,-0.11921565008173811
TQQQ_BuyHold,2018_Q4,2018-10-01,2018-12-31,-0.47459961437514886,-0.5752540894708007,-0.13599434828682433
TQQQ_BuyHold,COVID_crash_recovery,2020-02-19,2020-04-30,-0.39193306606240175,-0.6992241233271217,-0.3446446164672766
TQQQ_BuyHold,2022_bear,2022-01-03,2022-12-30,-0.7896572073993116,-0.8090290423285398,-0.16456514710636927
