strategy,start,end,trading_days,total_return,cagr,annual_volatility,sharpe_excess_bil,sortino_excess_bil,max_drawdown,daily_var_95,daily_cvar_95,worst_1d,worst_5d,worst_20d,worst_63d,average_asset_weight,average_cash_weight,annual_turnover,transaction_cost_total,drawdown_peak_date,drawdown_trough_date,recovery_date,recovery_trading_days,recovered
BIL_like_Cash,2016-07-25,2026-07-24,2515,0.2597994333982354,0.023373723576610717,0.0012100467587998504,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2016-07-25,2016-07-25,2016-07-25,0,True
QQQ_BuyHold,2016-07-25,2026-07-24,2515,5.460476946110677,0.20520173311642176,0.2245548714265279,0.8422018344455996,1.193251958755497,-0.35122525674823246,-0.022635024021669205,-0.033654591884161304,-0.11978787563689297,-0.1619641760007563,-0.2784691442209343,-0.23504890099788023,1.0,0.0,0.0,0.0,2021-12-27,2022-11-03,2023-12-13,494,True
QQQ_Full_35_20_45,2016-07-25,2026-07-24,2514,1.7090066768736962,0.10483847408734381,0.11477548895914033,0.7262858394934959,1.0364308899062666,-0.2479368100091207,-0.010847070435993127,-0.018049206020463223,-0.042581865694419685,-0.08921738776367605,-0.12310721757954757,-0.20668789365284934,0.43586701570969644,0.5641329842903036,1.9337941659819233,0.009665000000000002,2021-12-27,2022-12-28,2024-05-14,598,True
QQQ_Full_50_15_35,2016-07-25,2026-07-24,2514,2.3256026068631077,0.1277386789856696,0.13751712049592155,0.7765959412224596,1.1053449422268617,-0.27245713853450537,-0.013443958030620207,-0.021231548820734098,-0.060079534821756764,-0.09435990246760995,-0.1387974705455548,-0.21388199611171443,0.5666988510413957,0.4333011489586043,1.4956142152834837,0.007474999999999999,2021-12-27,2022-12-28,2024-02-07,531,True
QQQ_Full_60_10_30,2016-07-25,2026-07-24,2514,2.819358578023329,0.14346520613358615,0.15472175675151373,0.7962367369895108,1.1323269889747187,-0.2935768788576041,-0.01550381199815406,-0.023674983953255367,-0.072104213792333,-0.09958485193089506,-0.16581769479003194,-0.22302359145649164,0.657033593433418,0.34296640656658195,1.2765242399342644,0.0063799999999999985,2021-12-27,2022-12-28,2024-01-23,520,True
QQQ_PS_GreedCall,2016-07-25,2026-07-24,2514,1.647793691980131,0.10231518057765254,0.11341912960177804,0.7134014131861792,1.018384479253739,-0.24847733107440217,-0.010506801166214335,-0.01790115788868073,-0.043119952689599006,-0.08921738776367594,-0.12310721757954757,-0.20668789365284868,0.43478023070803495,0.565219769291965,1.9337941659819233,0.009665000000000002,2021-12-27,2022-12-28,2024-05-13,597,True
QQQ_PS_Insurance,2016-07-25,2026-07-24,2514,1.6338563981401553,0.10173333281354657,0.11291387428643193,0.7113993963707729,1.016151174016853,-0.24851677540274253,-0.010418070295078612,-0.017788247666511783,-0.04257772855607933,-0.08921738776367605,-0.12310721757954701,-0.2066878936528489,0.43478023070803495,0.565219769291965,1.9337941659819233,0.009665000000000002,2021-12-27,2022-12-28,2024-05-14,598,True
QQQ_PS_Only,2016-07-25,2026-07-24,2515,1.6521664667622553,0.10249716517249641,0.11345706974208516,0.7143186656697106,1.0198305259884848,-0.24847733107440373,-0.01050517566045221,-0.017902451783233256,-0.04311995268959893,-0.08921738776367605,-0.12310721757954757,-0.20668789365284956,0.4347465208747514,0.5652534791252486,1.9337941659819233,0.009665000000000002,2021-12-27,2022-12-28,2024-05-13,597,True
QQQ_PS_Premium,2016-07-25,2026-07-24,2514,1.7328544109394355,0.10580764425727307,0.11516731213838373,0.7318376145856658,1.0444649518742135,-0.24771140909943812,-0.010892353135327576,-0.018113167234265627,-0.043119952689599006,-0.08921738776367605,-0.12310721757954768,-0.2066878936528489,0.435744835770486,0.5642551642295139,1.9337941659819233,0.009665000000000002,2021-12-27,2022-12-28,2024-03-22,562,True
QQQ_Static35,2016-07-25,2026-07-24,2515,1.364570425770848,0.08990985830269782,0.0786019598786647,0.8422018344455994,1.193251958755497,-0.1259815829968841,-0.007885772777457323,-0.011731311598216346,-0.04192201639354746,-0.057854758356924774,-0.10204649460472881,-0.08439927730542773,0.3500000000000001,0.6499999999999999,0.0,0.0,2021-12-27,2022-10-14,2023-06-12,366,True
TQQQ_BuyHold,2016-07-25,2026-07-24,2515,26.094534524363844,0.3910637674840296,0.6645440121209713,0.7992389904291054,1.1274051742549838,-0.8175454442813592,-0.06619233298518436,-0.10025545170509333,-0.3446446164672766,-0.4480234405059046,-0.6747826086956523,-0.6045477014335148,1.0,0.0,0.0,0.0,2021-11-19,2022-12-28,2024-12-11,768,True
TQQQ_Full_35_20_45,2016-07-25,2026-07-24,2514,6.662607873160562,0.22595349036730972,0.3408055958954625,0.7019823721906657,0.9991308923669212,-0.6472917235135722,-0.0324808422358337,-0.05387161576901433,-0.12225470500969404,-0.2504642710178048,-0.3398336329321864,-0.5311032259918993,0.43601240220640436,0.5639875977935956,1.9337941659819233,0.009665000000000002,2021-11-19,2022-12-28,2025-07-28,922,True
TQQQ_PS_GreedCall,2016-07-25,2026-07-24,2514,6.00279462037287,0.2149596829594138,0.3362733203290468,0.6799850210812964,0.9678244326999651,-0.6476816715595677,-0.03165461995806949,-0.053378641574272974,-0.12406837938853699,-0.250464271017805,-0.33983363293218616,-0.5311032259918993,0.43478023070803495,0.565219769291965,1.9337941659819233,0.009665000000000002,2021-11-19,2022-12-28,2025-08-08,931,True
TQQQ_PS_Insurance,2016-07-25,2026-07-24,2514,5.979421315477269,0.21455338732927776,0.3347312885808443,0.6805586162265106,0.9693309031796362,-0.64841308283396,-0.03133798644614973,-0.05300647977604208,-0.12222285270935984,-0.2504642710178049,-0.33983363293218594,-0.5311032259918991,0.43478023070803495,0.565219769291965,1.9337941659819233,0.009665000000000002,2021-11-19,2022-12-28,2025-08-12,933,True
TQQQ_PS_Only,2016-07-25,2026-07-24,2515,6.103123765504572,0.21668994701445943,0.33648983613346606,0.6837724894834225,0.9734679614451259,-0.6477779186210744,-0.031643189369241286,-0.053386447356945366,-0.12406837938853704,-0.2504642710178048,-0.33983363293218605,-0.5311032259918993,0.4347465208747514,0.5652534791252486,1.9337941659819233,0.009665000000000002,2021-11-19,2022-12-28,2025-08-08,931,True
TQQQ_Static35,2016-07-25,2026-07-24,2515,5.141809746834597,0.1991182776519831,0.23259253668016863,0.7992389904291053,1.1274051742549835,-0.3765953648396416,-0.023156870116243095,-0.035041687795699265,-0.12062187568418173,-0.1698009844081243,-0.28346270665668305,-0.2486415749901627,0.3500000000000001,0.6499999999999999,0.0,0.0,2021-11-19,2022-12-28,2024-01-18,541,True
