date,strategy_name,asset,group_id,strategy_type,action,option_type,side,strike,expiry,contracts,spot,mid,bid,ask,execution_price,iv,delta,cash_flow,pnl,execution_drag,reason,assigned_shares,assigned_basis
2017-05-19,QQQ_PS_Insurance,QQQ,1,insurance,OPEN,put,1.0,132.0,2017-07-21,6,137.84,1.2313901616812686,1.200605407639237,1.2621749157233002,1.2621749157233002,0.1520675175686262,-0.23427875191392103,-757.3049494339801,-22.370852425218978,22.370852425218978,RISK_WARNING_INSURANCE_ENTRY,,
2017-05-19,QQQ_PS_Insurance,QQQ,1,insurance,OPEN,put,-1.0,127.0,2017-07-21,6,137.84,0.452931677863619,0.4416083859170285,0.4642549698102095,0.4416083859170285,0.15984723367889017,-0.10133299255419032,264.9650315502171,-10.693975167954292,10.693975167954292,RISK_WARNING_INSURANCE_ENTRY,,
2017-05-24,QQQ_PS_Insurance,QQQ,1,insurance,CLOSE,put,1.0,132.0,2017-07-21,6,139.78,0.669926344786866,0.6531781861671944,0.6866745034065376,0.6531781861671944,0.14607808299012226,-0.15378208578106586,391.90691170031664,-13.948895171802963,13.948895171802963,INSURANCE_RECOVERY_EXIT,,
2017-05-24,QQQ_PS_Insurance,QQQ,1,insurance,CLOSE,put,-1.0,127.0,2017-07-21,6,139.78,0.20006595788867632,0.1900659578886763,0.21006595788867632,0.21006595788867632,0.15331205870769185,-0.0540567681054126,-126.0395747332058,-9.900000000000006,9.900000000000006,INSURANCE_RECOVERY_EXIT,,
2017-07-05,QQQ_PS_Insurance,QQQ,2,insurance,OPEN,put,1.0,131.0,2017-09-15,6,137.53,1.5296417819648127,1.4914007374156923,1.567882826513933,1.567882826513933,0.16747300006826205,-0.24332449553804206,-940.7296959083599,-26.844626729472218,26.844626729472218,RISK_WARNING_INSURANCE_ENTRY,,
2017-07-05,QQQ_PS_Insurance,QQQ,2,insurance,OPEN,put,-1.0,125.0,2017-09-15,6,137.53,0.5636020411110785,0.5495119900833015,0.5776920921388554,0.5495119900833015,0.17770382987049765,-0.10496706336943243,329.70719404998096,-12.354030616666163,12.354030616666163,RISK_WARNING_INSURANCE_ENTRY,,
2017-07-10,QQQ_PS_Insurance,QQQ,2,insurance,CLOSE,put,1.0,131.0,2017-09-15,6,138.66,1.1679107517533325,1.138712982959499,1.1971085205471659,1.138712982959499,0.16732029297382944,-0.2025198750872909,683.2277897756994,-21.418661276300043,21.418661276300043,INSURANCE_RECOVERY_EXIT,,
2017-07-10,QQQ_PS_Insurance,QQQ,2,insurance,CLOSE,put,-1.0,125.0,2017-09-15,6,138.66,0.39286069318263195,0.38286069318263194,0.40286069318263196,0.40286069318263196,0.17734948136386916,-0.07978444363425595,-241.71641590957915,-9.900000000000006,9.900000000000006,INSURANCE_RECOVERY_EXIT,,
2017-08-14,QQQ_PS_Insurance,QQQ,3,insurance,OPEN,put,1.0,138.0,2017-10-20,6,143.93,1.5010518361389344,1.463525540235461,1.538578132042408,1.538578132042408,0.15593830305600093,-0.25209326551453665,-923.1468792254448,-26.415777542084072,26.415777542084072,RISK_WARNING_INSURANCE_ENTRY,,
2017-08-14,QQQ_PS_Insurance,QQQ,3,insurance,OPEN,put,-1.0,132.0,2017-10-20,6,143.93,0.5170393714682504,0.5041133871815442,0.5299653557549566,0.5041133871815442,0.16512164823842532,-0.10335739718964068,302.4680323089265,-11.65559057202373,11.65559057202373,RISK_WARNING_INSURANCE_ENTRY,,
