date,strategy_name,asset,group_id,strategy_type,action,option_type,side,strike,expiry,contracts,spot,mid,bid,ask,execution_price,iv,delta,cash_flow,pnl,execution_drag,reason,candidate_id
2017-05-19,I001,QQQ,1,insurance,OPEN,put,1,130.0,2017-08-18,11,137.84,1.3502835695062814,1.3165264802686243,1.3840406587439384,1.3840406587439384,0.1564834979868187,-0.21241634784097074,-1522.4447246183322,-44.28279816142278,44.28279816142278,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,I001
2017-08-08,I001,QQQ,1,insurance,CLOSE,put,1,130.0,2017-08-18,11,144.31,0.0001505395281112612,0.0,0.010150539528111261,0.0,0.17495345090430323,-0.0001462616598206587,0.0,-7.315593480922388,7.315593480922388,INSURANCE_DTE_ROLL,I001
2018-01-31,I001,QQQ,2,insurance,OPEN,put,1,159.0,2018-04-20,9,169.4,1.7166070572253602,1.6736918807947263,1.7595222336559941,1.7595222336559941,0.17966147749898892,-0.20655983350567786,-1583.5700102903947,-44.47365878757053,44.47365878757053,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,I001
2018-02-05,I001,QQQ,2,insurance,CLOSE,put,1,159.0,2018-04-20,2,158.12,7.073071062666784,6.8962442861001145,7.249897839233454,6.8962442861001145,0.23710109002678986,-0.49364264276753483,1379.248857220023,-36.665355313333954,36.665355313333954,INSURANCE_PARTIAL_MONETIZATION,I001
2018-02-14,I001,QQQ,2,insurance,CLOSE,put,1,159.0,2018-04-20,2,162.68,4.2073938576440355,4.102209011202935,4.312578704085136,4.102209011202935,0.22045882247164328,-0.37866008337205553,820.441802240587,-22.336969288220143,22.336969288220143,INSURANCE_PARTIAL_MONETIZATION,I001
2018-04-10,I001,QQQ,2,insurance,CLOSE,put,1,159.0,2018-04-20,5,161.21,2.1426418214125533,2.0890757758772396,2.196207866947867,2.0890757758772396,0.2971985853632461,-0.3780072370993311,1044.5378879386199,-30.033022767656874,30.033022767656874,INSURANCE_DTE_ROLL,I001
2018-07-06,I001,QQQ,3,insurance,OPEN,put,1,164.0,2018-09-21,1,175.61,1.705942581706772,1.6632940171641026,1.7485911462494412,1.7485911462494412,0.18877245365069367,-0.19407750538719662,-174.8591146249441,-4.91485645426693,4.91485645426693,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,I001
2018-09-11,I001,QQQ,3,insurance,CLOSE,put,1,164.0,2018-09-21,1,183.12,0.000936294353520245,0.0,0.010936294353520245,0.0,0.2062250982961992,-0.0005586681741092766,0.0,-0.7436294353520245,0.7436294353520245,INSURANCE_DTE_ROLL,I001
2019-03-11,I001,QQQ,4,insurance,OPEN,put,1,161.0,2019-06-21,7,174.73,2.3769332029659296,2.3175098728917813,2.436356533040078,2.436356533040078,0.21256469568313857,-0.2040401737118239,-1705.4495731280545,-46.146331051903765,46.146331051903765,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,I001
2019-05-17,I001,QQQ,4,insurance,CLOSE,put,1,161.0,2019-06-21,3,183.04,0.15372603662329976,0.14372603662329975,0.16372603662329976,0.14372603662329975,0.22730468940725937,-0.030041697343464867,43.11781098698992,-4.950000000000003,4.950000000000003,INSURANCE_PARTIAL_MONETIZATION,I001
2019-06-11,I001,QQQ,4,insurance,CLOSE,put,1,161.0,2019-06-21,4,183.4,0.000865879906064862,0.0,0.010865879906064862,0.0,0.2392442748091603,-0.0004504927797825685,0.0,-2.946351962425945,2.946351962425945,INSURANCE_DTE_ROLL,I001
2019-10-24,I001,QQQ,5,insurance,OPEN,put,1,179.0,2020-01-17,1,194.09,2.3661625034269136,2.3070084408412406,2.4253165660125866,2.4253165660125866,0.21680205256391558,-0.19870790391903811,-242.53165660125865,-6.565406258567302,6.565406258567302,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,I001
2020-01-07,I001,QQQ,5,insurance,CLOSE,put,1,179.0,2020-01-17,1,215.53,1.1073652596265961e-07,0.0,0.010000110736525963,0.0,0.21510108801558944,-8.014230740255145e-08,0.0,-0.6500110736525962,0.6500110736525962,INSURANCE_DTE_ROLL,I001
2020-01-27,I001,QQQ,6,insurance,OPEN,put,1,202.0,2020-04-17,7,218.1,2.6508850022170023,2.584612877161577,2.7171571272724275,2.7171571272724275,0.21464260014077557,-0.20383268671637694,-1902.0099890906993,-50.94048753879766,50.94048753879766,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,I001
2020-02-27,I001,QQQ,6,insurance,CLOSE,put,1,202.0,2020-04-17,2,205.64,8.589510279084948,8.374772522107824,8.804248036062072,8.374772522107824,0.3463517666044231,-0.4157926234172418,1674.9545044215647,-44.24755139542481,44.24755139542481,INSURANCE_PARTIAL_MONETIZATION,I001
2020-03-12,I001,QQQ,6,insurance,CLOSE,put,1,202.0,2020-04-17,1,177.32,30.325348767907855,29.567215048710157,31.083482487105552,29.567215048710157,0.623629526996555,-0.7149649242179706,2956.721504871016,-76.46337191976978,76.46337191976978,INSURANCE_PARTIAL_MONETIZATION,I001
2020-04-07,I001,QQQ,6,insurance,CLOSE,put,1,202.0,2020-04-17,4,196.4,14.089987109504065,13.737737431766464,14.442236787241667,13.737737431766464,0.8404344850634161,-0.553124653234948,5495.094972706585,-143.49987109504065,143.49987109504065,INSURANCE_DTE_ROLL,I001
2020-09-11,I001,QQQ,7,insurance,OPEN,put,1,234.0,2020-12-18,1,270.45,6.387534161530944,6.22784580749267,6.547222515569217,6.547222515569217,0.3716877884391531,-0.1997846337380108,-654.7222515569217,-16.61883540382734,16.61883540382734,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,I001
