date,strategy_name,asset,group_id,strategy_type,action,option_type,side,strike,expiry,contracts,spot,mid,bid,ask,execution_price,iv,delta,cash_flow,pnl,execution_drag,reason,assigned_shares,assigned_basis
2017-01-03,QQQ_v0_3_Full,QQQ,1,cash_secured_put,OPEN,put,-1.0,114.0,2017-02-17,8,119.54,0.9008926438095912,0.8783703277143514,0.923414959904831,0.8783703277143514,0.17462616912456386,-0.21058360827772798,702.6962621714812,-23.21785287619184,23.21785287619184,CONDITIONAL_ENTRY_CSP,,
2017-01-05,QQQ_v0_3_Full,QQQ,2,covered_call,OPEN,call,-1.0,127.0,2017-02-17,3,120.87,0.5791534081505567,0.5646745729467928,0.5936322433543206,0.5646745729467928,0.15070752850413116,0.17589965815131486,169.40237188403785,-6.2936505611291755,6.2936505611291755,GREED_EXHAUSTION_COVERED_CALL,,
2017-01-06,QQQ_v0_3_Full,QQQ,2,covered_call,CLOSE,call,-1.0,127.0,2017-02-17,3,121.93,0.7017912316158288,0.6842464508254331,0.7193360124062245,0.7193360124062245,0.14524272065356472,0.21099127040916452,-215.80080372186734,-7.213434237118703,7.213434237118703,CALL_STATE_EXIT,,
2017-01-11,QQQ_v0_3_Full,QQQ,1,cash_secured_put,CLOSE,put,-1.0,114.0,2017-02-17,8,122.93,0.18746319115354737,0.17746319115354736,0.19746319115354738,0.19746319115354738,0.16055050796814804,-0.06667127045234182,-157.9705529228379,-13.200000000000006,13.200000000000006,CSP_PROFIT_TARGET,,
2017-04-19,QQQ_v0_3_Full,QQQ,3,cash_secured_put,OPEN,put,-1.0,125.0,2017-05-19,8,131.49,0.4488256438335938,0.43760500273775393,0.46004628492943367,0.43760500273775393,0.16615337668263747,-0.13811546268494435,350.08400219020314,-14.176512876671893,14.176512876671893,CONDITIONAL_ENTRY_CSP,,
2017-04-24,QQQ_v0_3_Full,QQQ,3,cash_secured_put,CLOSE,put,-1.0,125.0,2017-05-19,8,134.16,0.034844191456339324,0.024844191456339322,0.044844191456339326,0.044844191456339326,0.13295125223613596,-0.02008176972047568,-35.87535316507146,-13.200000000000003,13.200000000000003,CSP_PROFIT_TARGET,,
2017-05-19,QQQ_v0_3_Full,QQQ,4,insurance,OPEN,put,1.0,130.0,2017-08-18,11,137.84,1.3502835695062743,1.3165264802686174,1.3840406587439311,1.3840406587439311,0.1564834979868187,-0.21241634784097074,-1522.444724618324,-44.28279816142254,44.28279816142254,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,,
2017-08-08,QQQ_v0_3_Full,QQQ,4,insurance,CLOSE,put,1.0,130.0,2017-08-18,11,144.31,0.0001505395281112612,0.0,0.010150539528111261,0.0,0.17495345090430323,-0.0001462616598206587,0.0,-7.315593480922388,7.315593480922388,INSURANCE_DTE_ROLL,,
2017-08-08,QQQ_v0_3_Full,QQQ,5,covered_call,OPEN,call,-1.0,150.0,2017-09-15,3,144.31,0.8424464455990659,0.8213852844590892,0.8635076067390426,0.8213852844590892,0.14870011755278362,0.21765447897862744,246.41558533772675,-8.268348341993008,8.268348341993008,GREED_EXHAUSTION_COVERED_CALL,,
2017-08-11,QQQ_v0_3_Full,QQQ,5,covered_call,CLOSE,call,-1.0,150.0,2017-09-15,3,142.1,0.6130846994443431,0.5977575819582345,0.6284118169304517,0.6284118169304517,0.17035181004133348,0.15928350621905957,-188.5235450791355,-6.54813524583258,6.54813524583258,CALL_STATE_EXIT,,
2017-08-16,QQQ_v0_3_Full,QQQ,6,insurance,OPEN,put,1.0,135.0,2017-11-17,12,144.28,1.2267353060678943,1.196066923416197,1.2574036887195916,1.2574036887195916,0.15696832743170933,-0.18815524554019916,-1508.88442646351,-44.602059182036825,44.602059182036825,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,,
2017-11-07,QQQ_v0_3_Full,QQQ,6,insurance,CLOSE,put,1.0,135.0,2017-11-17,12,153.88,8.608335842429072e-07,0.0,0.010000860833584244,0.0,0.16718637899662073,-1.03060179094018e-06,0.0,-7.801033000301092,7.801033000301092,INSURANCE_DTE_ROLL,,
2017-12-11,QQQ_v0_3_Full,QQQ,7,cash_secured_put,OPEN,put,-1.0,148.0,2018-01-19,7,155.9,0.4265309940427109,0.4158677191916431,0.43719426889377866,0.4158677191916431,0.13923893501231774,-0.11981193982138996,291.10740343415017,-12.01429239574744,12.01429239574744,CONDITIONAL_ENTRY_CSP,,
2017-12-11,QQQ_v0_3_Full,QQQ,8,covered_call,OPEN,call,-1.0,164.0,2018-01-19,3,155.9,0.3689284202511054,0.3589284202511054,0.3789284202511054,0.3589284202511054,0.12738598722110525,0.11798010300417337,107.67852607533162,-4.950000000000003,4.950000000000003,GREED_EXHAUSTION_COVERED_CALL,,
2017-12-12,QQQ_v0_3_Full,QQQ,8,covered_call,CLOSE,call,-1.0,164.0,2018-01-19,3,155.69,0.3457953677397896,0.3357953677397896,0.3557953677397896,0.3557953677397896,0.129083131071454,0.11194584845344735,-106.73861032193687,-4.950000000000003,4.950000000000003,CALL_STATE_EXIT,,
2018-01-02,QQQ_v0_3_Full,QQQ,7,cash_secured_put,CLOSE,put,-1.0,148.0,2018-01-19,7,158.49,0.05385988663590746,0.04385988663590746,0.06385988663590746,0.06385988663590746,0.16412261025932237,-0.02507321042767681,-44.70192064513522,-11.549999999999997,11.549999999999997,CSP_PROFIT_TARGET,,
2018-01-02,QQQ_v0_3_Full,QQQ,9,covered_call,OPEN,call,-1.0,166.0,2018-02-16,3,158.49,0.8201583529646008,0.7996543941404858,0.8406623117887159,0.7996543941404858,0.14402942627230642,0.19024189279585477,239.89631824214572,-8.101187647234514,8.101187647234514,GREED_EXHAUSTION_COVERED_CALL,,
2018-01-05,QQQ_v0_3_Full,QQQ,9,covered_call,CLOSE,call,-1.0,166.0,2018-02-16,3,161.92,1.4196203950781623,1.3841298852012083,1.4551109049551163,1.4551109049551163,0.13504305683880596,0.3064576119999836,-436.5332714865349,-12.597152963086202,12.597152963086202,CALL_STATE_EXIT,,
2018-01-25,QQQ_v0_3_Full,QQQ,10,covered_call,OPEN,call,-1.0,182.0,2018-03-16,1,168.35,0.5039652688506173,0.4913661371293519,0.5165644005718828,0.4913661371293519,0.16304259873823249,0.10611404778205007,49.13661371293519,-1.9099131721265423,1.9099131721265423,GREED_EXHAUSTION_COVERED_CALL,,
2018-01-31,QQQ_v0_3_Full,QQQ,10,covered_call,CLOSE,call,-1.0,182.0,2018-03-16,1,169.4,0.6603842885627174,0.6438746813486494,0.6768938957767853,0.6768938957767853,0.17676440156376408,0.1301512191618765,-67.68938957767853,-2.300960721406791,2.300960721406791,CALL_STATE_EXIT,,
2018-01-31,QQQ_v0_3_Full,QQQ,11,insurance,OPEN,put,1.0,159.0,2018-04-20,9,169.4,1.7166070572253744,1.67369188079474,1.7595222336560088,1.7595222336560088,0.17966147749898892,-0.20655983350567775,-1583.570010290408,-44.473658787570926,44.473658787570926,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,,
2018-02-05,QQQ_v0_3_Full,QQQ,11,insurance,CLOSE,put,1.0,159.0,2018-04-20,2,158.12,7.073071062666784,6.8962442861001145,7.249897839233454,6.8962442861001145,0.23710109002678986,-0.49364264276753483,1379.248857220023,-36.665355313333954,36.665355313333954,INSURANCE_PARTIAL_MONETIZATION,,
2018-02-14,QQQ_v0_3_Full,QQQ,11,insurance,CLOSE,put,1.0,159.0,2018-04-20,2,162.68,4.2073938576440355,4.102209011202935,4.312578704085136,4.102209011202935,0.22045882247164328,-0.37866008337205553,820.441802240587,-22.336969288220143,22.336969288220143,INSURANCE_PARTIAL_MONETIZATION,,
2018-04-10,QQQ_v0_3_Full,QQQ,11,insurance,CLOSE,put,1.0,159.0,2018-04-20,5,161.21,2.1426418214125533,2.0890757758772396,2.196207866947867,2.0890757758772396,0.2971985853632461,-0.3780072370993311,1044.5378879386199,-30.033022767656874,30.033022767656874,INSURANCE_DTE_ROLL,,
2018-06-11,QQQ_v0_3_Full,QQQ,12,cash_secured_put,OPEN,put,-1.0,167.0,2018-07-20,7,174.91,1.1024082453076502,1.074848039174959,1.1299684514403414,1.074848039174959,0.1745014138269552,-0.19418309800159994,752.3936274224714,-23.84214429288382,23.84214429288382,CONDITIONAL_ENTRY_CSP,,
