candidate,period,start,end,return,max_drawdown,worst_day
none,2018_Q4,2018-10-01,2018-12-31,-0.08610908811474294,-0.11481742637990167,-0.025139760789542387
none,COVID_crash_recovery,2020-02-19,2020-04-30,0.03496867549249494,-0.07783197338935999,-0.029814595619665818
none,2022_bear,2022-01-03,2022-12-30,-0.10959953083574214,-0.1624714939152475,-0.026074692233406305
e55,2018_Q4,2018-10-01,2018-12-31,-0.06479912932988974,-0.08389452270033826,-0.018544805702772726
e55,COVID_crash_recovery,2020-02-19,2020-04-30,0.034705058789782806,-0.07826000603422367,-0.03001000695373024
e55,2022_bear,2022-01-03,2022-12-30,-0.1096816275216953,-0.1625187418731131,-0.02609291493461352
b35,2018_Q4,2018-10-01,2018-12-31,-0.08612728274258241,-0.11484032718004888,-0.025146165233653983
b35,COVID_crash_recovery,2020-02-19,2020-04-30,0.03499235972993664,-0.07779351738862572,-0.029797044186893107
b35,2022_bear,2022-01-03,2022-12-30,-0.1095778249030982,-0.16245900176781303,-0.026069874776700086
e55_b35,2018_Q4,2018-10-01,2018-12-31,-0.06479261275588999,-0.08388275405507839,-0.01854329237490504
e55_b35,COVID_crash_recovery,2020-02-19,2020-04-30,0.03472024189817269,-0.07823535336095211,-0.029998749389139046
e55_b35,2022_bear,2022-01-03,2022-12-30,-0.10966180887743182,-0.16250733594531053,-0.026088515572360804
e50_b35,2018_Q4,2018-10-01,2018-12-31,-0.06483676900356838,-0.08388264278949409,-0.01854327806730638
e50_b35,COVID_crash_recovery,2020-02-19,2020-04-30,0.03472038544602252,-0.07823512028360924,-0.029998642956740706
e50_b35,2022_bear,2022-01-03,2022-12-30,-0.10964962143519552,-0.1625003218828862,-0.026085810283614674
p25_e55_b35,2018_Q4,2018-10-01,2018-12-31,-0.06479261275588999,-0.08388275405507839,-0.01854329237490504
p25_e55_b35,COVID_crash_recovery,2020-02-19,2020-04-30,0.03472024189817269,-0.07823535336095211,-0.029998749389139046
p25_e55_b35,2022_bear,2022-01-03,2022-12-30,-0.10966180887743182,-0.16250733594531053,-0.026088515572360804
