strategy,model_layer,subperiod,start,end,trading_days,total_return,cagr,annual_volatility,sharpe_excess_bil,sortino_excess_bil,max_drawdown,daily_var_95,daily_cvar_95,worst_1d,worst_5d,worst_20d,worst_63d,average_asset_weight,average_cash_weight,annual_turnover,transaction_cost_total,drawdown_peak_date,drawdown_trough_date,recovery_date,recovery_trading_days,recovered
v0_3_base_scores,PS_only,full,2016-07-25,2026-07-24,2515,1.6521664667622553,0.10249716517249641,0.11345706974208516,0.7143186656697106,1.0198305259884848,-0.24847733107440373,-0.01050517566045221,-0.017902451783233256,-0.04311995268959893,-0.08921738776367605,-0.12310721757954757,-0.20668789365284956,0.4347465208747514,0.5652534791252486,1.9337941659819233,0.009665000000000002,2021-12-27,2022-12-28,2024-05-13,597,True
v0_3_base_scores,PS_only,first_half,2016-07-25,2020-12-31,1120,0.8478239997957269,0.14815001489709556,0.11456975503739411,1.1655682949235295,1.672421653243852,-0.10804834055347123,-0.010956020389870027,-0.018746538233684173,-0.04311995268959893,-0.05949129480970572,-0.10373323156134995,-0.10604399663011177,0.46023214285714287,0.5397678571428571,1.9383750000000004,0.0043075000000000006,2018-10-01,2018-12-24,2019-02-22,98,True
v0_3_base_scores,PS_only,second_half,2021-01-04,2026-07-24,1395,0.4424201352369137,0.06823580224085068,0.11255492420149378,0.34551661718729243,0.4911338657379411,-0.24847733107440373,-0.010297318744152692,-0.017199503992561357,-0.040285270072430365,-0.08921738776367605,-0.12310721757954757,-0.20668789365284956,0.41428494623655915,0.5857150537634408,1.9307615934879137,0.005357500000000001,2021-12-27,2022-12-28,2024-05-13,597,True
v0_4_all,PS_only,full,2016-07-25,2026-07-24,2515,1.9106807265751207,0.11280359513970883,0.10032025376076968,0.8867334559289388,1.2856870083118268,-0.17007662378013966,-0.009627219068334294,-0.015336886817563579,-0.04311995268959893,-0.05904577147061074,-0.10328654788658442,-0.1297930991244619,0.4076560636182903,0.5923439363817097,1.0424281018898933,0.005210000000000001,2021-12-27,2022-11-03,2023-06-15,369,True
v0_4_all,PS_only,first_half,2016-07-25,2020-12-31,1120,0.8405866456401285,0.14713666240137258,0.1046211941263112,1.2575379722449616,1.8028247004377662,-0.10647134501829969,-0.010020971356804118,-0.016905888065520295,-0.04311995268959893,-0.058752237330022994,-0.10328654788658442,-0.09327010166174032,0.4392053571428572,0.5607946428571429,1.41075,0.0031350000000000006,2020-02-19,2020-03-16,2020-04-17,41,True
v0_4_all,PS_only,second_half,2021-01-04,2026-07-24,1395,0.5892415227914292,0.08705843951960035,0.09673885740089759,0.5659706804121382,0.8294360888170995,-0.17007662378013966,-0.009176985563687796,-0.014048964523657814,-0.02738925856929956,-0.05904577147061074,-0.0829441763501263,-0.1297930991244619,0.382326164874552,0.617673835125448,0.7477984706462756,0.0020750000000000005,2021-12-27,2022-11-03,2023-06-15,369,True
v0_4_all_ungated,PS_only,full,2016-07-25,2026-07-24,2515,1.9344656347329505,0.11370997907694091,0.1063083857827034,0.8502662035006531,1.2332165161913817,-0.17789833471302618,-0.009876063506186967,-0.016415279494854454,-0.04311995268959893,-0.05904577147061074,-0.10328654788658442,-0.1297930991244619,0.41919681908548717,0.5808031809145129,1.2044946589975352,0.006020000000000001,2021-12-27,2022-06-16,2023-06-14,368,True
v0_4_all_ungated,PS_only,first_half,2016-07-25,2020-12-31,1120,0.8472776474561474,0.1480736237340745,0.11541142828025866,1.1573338444644903,1.6564795848693432,-0.12476504851184556,-0.010956020389870027,-0.019052286260926365,-0.04311995268959893,-0.058752237330022994,-0.10328654788658442,-0.12127891532656088,0.46102232142857147,0.5389776785714285,1.5930000000000004,0.0035400000000000006,2018-10-01,2018-12-24,2019-03-18,114,True
v0_4_all_ungated,PS_only,second_half,2021-01-04,2026-07-24,1395,0.596424752033595,0.08794216223463192,0.09840632425716289,0.5663098390878989,0.8337463063051849,-0.17789833471302618,-0.00925604712387469,-0.014221016069846734,-0.02738925856929956,-0.05904577147061074,-0.0829441763501263,-0.1297930991244619,0.38561648745519717,0.6143835125448028,0.8937543167242232,0.0024800000000000004,2021-12-27,2022-06-16,2023-06-14,368,True
v0_4_no_breadth_ungated,PS_only,full,2016-07-25,2026-07-24,2515,1.737475113396683,0.10599454855749002,0.11269537670735696,0.7465650945705394,1.0665681392075068,-0.2705008746013168,-0.010367469264139536,-0.017702007772416622,-0.04311995268959893,-0.08921738776367605,-0.13030057050374122,-0.23644738191096815,0.43475149105367794,0.5652485089463221,2.0353358668857853,0.010172500000000001,2021-12-27,2022-11-03,2024-06-12,618,True
