strategy,period,start,end,return,max_drawdown,worst_day
PS_proxy,2018_Q4,2018-10-01,2018-12-31,-0.07228840238288115,-0.09742045907188701,-0.020287148871927174
PS_proxy,COVID_crash_recovery,2020-02-19,2020-04-30,0.017328439576642207,-0.10647134501829869,-0.043119952689598895
PS_proxy,2022_bear,2022-01-03,2022-12-30,-0.11548548231292399,-0.16812434758576567,-0.027389258569299524
Call_only,2018_Q4,2018-10-01,2018-12-31,-0.07220219220334567,-0.09733658435859449,-0.020287148871927285
Call_only,COVID_crash_recovery,2020-02-19,2020-04-30,0.01732843957664243,-0.10647134501829913,-0.043119952689599006
Call_only,2022_bear,2022-01-03,2022-12-30,-0.11548548231292555,-0.16812434758576766,-0.027389258569299524
CSP_only,2018_Q4,2018-10-01,2018-12-31,-0.0722448774474348,-0.09742045907188746,-0.020287148871927063
CSP_only,COVID_crash_recovery,2020-02-19,2020-04-30,0.017328439576641763,-0.1064713450182998,-0.043119952689598895
CSP_only,2022_bear,2022-01-03,2022-12-30,-0.11550378819523344,-0.1681415640559143,-0.027389258569299524
Insurance_only,2018_Q4,2018-10-01,2018-12-31,-0.06491614538504731,-0.08395378904894613,-0.018541432266145352
Insurance_only,COVID_crash_recovery,2020-02-19,2020-04-30,0.034735483504813036,-0.07821060570013383,-0.02998744879162407
Insurance_only,2022_bear,2022-01-03,2022-12-30,-0.10960171907634642,-0.16247275328552413,-0.026075177908055025
Full,2018_Q4,2018-10-01,2018-12-31,-0.06479912932988974,-0.08389452270033826,-0.018544805702772726
Full,COVID_crash_recovery,2020-02-19,2020-04-30,0.034705058789782806,-0.07826000603422367,-0.03001000695373024
Full,2022_bear,2022-01-03,2022-12-30,-0.1096816275216953,-0.1625187418731131,-0.02609291493461352
