strategy,state,days,share
v0_3_base_scores,DATA_GUARD,1355,0.35770855332629353
v0_3_base_scores,GREED_EXHAUSTING,497,0.1312038014783527
v0_3_base_scores,RANGE_CARRY,352,0.09292502639915523
v0_3_base_scores,GREED_TREND,310,0.08183738120380148
v0_3_base_scores,NORMAL_PARTICIPATION,298,0.07866948257655755
v0_3_base_scores,RISK_WARNING,251,0.06626187961985217
v0_3_base_scores,RECOVERY_RETESTED,207,0.05464625131995776
v0_3_base_scores,PANIC_STABILIZING_1,198,0.05227032734952482
v0_3_base_scores,PANIC_STABILIZING_2,174,0.04593453009503696
v0_3_base_scores,PANIC_ACCELERATING,144,0.03801478352692714
v0_3_base_scores,RECOVERY_EARLY,2,0.0005279831045406547
v0_4_all,DATA_GUARD,1398,0.36906019007391766
v0_4_all,GREED_EXHAUSTING,537,0.14176346356916578
v0_4_all,RISK_WARNING,355,0.09371700105596621
v0_4_all,NORMAL_PARTICIPATION,329,0.0868532206969377
v0_4_all,RANGE_CARRY,314,0.08289334741288279
v0_4_all,PANIC_STABILIZING_2,236,0.06230200633579725
v0_4_all,PANIC_STABILIZING_1,232,0.061246040126715945
v0_4_all,GREED_TREND,206,0.05438225976768744
v0_4_all,PANIC_ACCELERATING,90,0.02375923970432946
v0_4_all,RECOVERY_RETESTED,68,0.01795142555438226
v0_4_all,RECOVERY_EARLY,23,0.006071805702217529
v0_4_all_ungated,DATA_GUARD,1398,0.36906019007391766
v0_4_all_ungated,GREED_EXHAUSTING,537,0.14176346356916578
v0_4_all_ungated,RISK_WARNING,355,0.09371700105596621
v0_4_all_ungated,NORMAL_PARTICIPATION,329,0.0868532206969377
v0_4_all_ungated,RANGE_CARRY,314,0.08289334741288279
v0_4_all_ungated,PANIC_STABILIZING_1,232,0.061246040126715945
v0_4_all_ungated,PANIC_STABILIZING_2,208,0.054910242872228086
v0_4_all_ungated,GREED_TREND,206,0.05438225976768744
v0_4_all_ungated,RECOVERY_RETESTED,119,0.031414994720168954
v0_4_all_ungated,PANIC_ACCELERATING,90,0.02375923970432946
v0_4_no_breadth_ungated,DATA_GUARD,1355,0.35770855332629353
v0_4_no_breadth_ungated,GREED_EXHAUSTING,476,0.12565997888067582
v0_4_no_breadth_ungated,GREED_TREND,386,0.10190073917634636
v0_4_no_breadth_ungated,RANGE_CARRY,316,0.08342133051742344
v0_4_no_breadth_ungated,NORMAL_PARTICIPATION,271,0.07154171066525872
v0_4_no_breadth_ungated,RISK_WARNING,242,0.06388595564941922
v0_4_no_breadth_ungated,PANIC_STABILIZING_1,212,0.0559662090813094
v0_4_no_breadth_ungated,PANIC_STABILIZING_2,204,0.05385427666314678
v0_4_no_breadth_ungated,RECOVERY_RETESTED,181,0.04778247096092925
v0_4_no_breadth_ungated,PANIC_ACCELERATING,145,0.03827877507919747
v0_4_no_liquidity_ungated,DATA_GUARD,1357,0.3582365364308342
v0_4_no_liquidity_ungated,GREED_EXHAUSTING,526,0.13885955649419218
v0_4_no_liquidity_ungated,RISK_WARNING,392,0.10348468848996832
v0_4_no_liquidity_ungated,NORMAL_PARTICIPATION,335,0.08843717001055966
v0_4_no_liquidity_ungated,RANGE_CARRY,313,0.08262935586061246
v0_4_no_liquidity_ungated,PANIC_STABILIZING_1,221,0.058342133051742344
v0_4_no_liquidity_ungated,GREED_TREND,216,0.057022175290390706
v0_4_no_liquidity_ungated,PANIC_STABILIZING_2,198,0.05227032734952482
v0_4_no_liquidity_ungated,RECOVERY_RETESTED,137,0.03616684266103485
v0_4_no_liquidity_ungated,PANIC_ACCELERATING,89,0.023495248152059132
v0_4_no_liquidity_ungated,RECOVERY_EARLY,4,0.0010559662090813093
v0_4_no_tail_ungated,DATA_GUARD,1398,0.36906019007391766
v0_4_no_tail_ungated,GREED_EXHAUSTING,503,0.13278775079197466
v0_4_no_tail_ungated,RISK_WARNING,389,0.10269271383315734
v0_4_no_tail_ungated,NORMAL_PARTICIPATION,344,0.0908130939809926
v0_4_no_tail_ungated,RANGE_CARRY,342,0.09028511087645195
v0_4_no_tail_ungated,PANIC_STABILIZING_1,232,0.061246040126715945
v0_4_no_tail_ungated,PANIC_STABILIZING_2,213,0.056230200633579724
v0_4_no_tail_ungated,GREED_TREND,160,0.042238648363252376
v0_4_no_tail_ungated,RECOVERY_RETESTED,119,0.031414994720168954
v0_4_no_tail_ungated,PANIC_ACCELERATING,88,0.023231256599788808
