strategy,model_layer,period,start,end,return,max_drawdown,worst_day
v0_3_base_scores,PS_only,2018_Q4,2018-10-01,2018-12-31,-0.08321221403767154,-0.10804834055347134,-0.030667495601830817
v0_3_base_scores,PS_only,COVID_crash_recovery,2020-02-19,2020-04-30,0.03670896657151346,-0.10691644223656349,-0.04311995268959893
v0_3_base_scores,PS_only,2022_bear,2022-01-03,2022-12-30,-0.226352008126539,-0.24663850726002423,-0.040285270072430365
v0_4_all,PS_only,2018_Q4,2018-10-01,2018-12-31,-0.07228840238288081,-0.0974204590718869,-0.020287148871927202
v0_4_all,PS_only,COVID_crash_recovery,2020-02-19,2020-04-30,0.01732843957664154,-0.10647134501829947,-0.04311995268959893
v0_4_all,PS_only,2022_bear,2022-01-03,2022-12-30,-0.11548548231292444,-0.16812434758576666,-0.02738925856929956
v0_4_all_ungated,PS_only,2018_Q4,2018-10-01,2018-12-31,-0.1003943937168339,-0.12476504851184622,-0.030667495601830817
v0_4_all_ungated,PS_only,COVID_crash_recovery,2020-02-19,2020-04-30,0.03790603939643433,-0.10647134501829947,-0.04311995268959893
v0_4_all_ungated,PS_only,2022_bear,2022-01-03,2022-12-30,-0.10904070051737313,-0.17591981045358018,-0.02738925856929956
v0_4_no_breadth_ungated,PS_only,2018_Q4,2018-10-01,2018-12-31,-0.07809597762292853,-0.1030707049107139,-0.030667495601830817
v0_4_no_breadth_ungated,PS_only,COVID_crash_recovery,2020-02-19,2020-04-30,0.04038556116438374,-0.10692284271924768,-0.04311995268959893
v0_4_no_breadth_ungated,PS_only,2022_bear,2022-01-03,2022-12-30,-0.24673058317956187,-0.2687159379389671,-0.040285270072430365
v0_4_no_liquidity_ungated,PS_only,2018_Q4,2018-10-01,2018-12-31,-0.1003943937168339,-0.12476504851184622,-0.030667495601830817
v0_4_no_liquidity_ungated,PS_only,COVID_crash_recovery,2020-02-19,2020-04-30,0.040911531048549055,-0.10647134501829947,-0.04311995268959893
v0_4_no_liquidity_ungated,PS_only,2022_bear,2022-01-03,2022-12-30,-0.1633069695747953,-0.2410360758667469,-0.040285270072430365
v0_4_no_tail_ungated,PS_only,2018_Q4,2018-10-01,2018-12-31,-0.1003943937168339,-0.12476504851184622,-0.030667495601830817
v0_4_no_tail_ungated,PS_only,COVID_crash_recovery,2020-02-19,2020-04-30,0.03790603939643433,-0.10647134501829947,-0.04311995268959893
v0_4_no_tail_ungated,PS_only,2022_bear,2022-01-03,2022-12-30,-0.11695845546085815,-0.17591981045358018,-0.02738925856929956
v0_3_full_base_scores,full_proxy,2018_Q4,2018-10-01,2018-12-31,-0.0776088719234499,-0.10258380000465495,-0.02755530200725853
v0_3_full_base_scores,full_proxy,COVID_crash_recovery,2020-02-19,2020-04-30,0.05337270385041126,-0.07937713950064795,-0.03235359531388182
v0_3_full_base_scores,full_proxy,2022_bear,2022-01-03,2022-12-30,-0.22058667120851483,-0.24089148232141566,-0.040285270072430324
v0_4_full_enriched_ungated,full_proxy,2018_Q4,2018-10-01,2018-12-31,-0.09297859306012746,-0.11131917839008443,-0.028917781350231375
v0_4_full_enriched_ungated,full_proxy,COVID_crash_recovery,2020-02-19,2020-04-30,0.055958023750285246,-0.07774453978602547,-0.02977469186372006
v0_4_full_enriched_ungated,full_proxy,2022_bear,2022-01-03,2022-12-30,-0.1031603767062681,-0.17258962117006516,-0.026102370368795258
v0_4_full_no_csp_e_gate,full_proxy,2018_Q4,2018-10-01,2018-12-31,-0.08610908811474183,-0.114817426379901,-0.025139760789542387
v0_4_full_no_csp_e_gate,full_proxy,COVID_crash_recovery,2020-02-19,2020-04-30,0.03496867549249516,-0.0778319733893601,-0.029814595619665818
v0_4_full_no_csp_e_gate,full_proxy,2022_bear,2022-01-03,2022-12-30,-0.10959953083574181,-0.1624714939152475,-0.026074692233406194
v0_4_full_enriched_scores,full_proxy,2018_Q4,2018-10-01,2018-12-31,-0.06479912932988996,-0.08389452270033859,-0.018544805702772726
v0_4_full_enriched_scores,full_proxy,COVID_crash_recovery,2020-02-19,2020-04-30,0.03470505878978214,-0.0782600060342239,-0.03001000695373024
v0_4_full_enriched_scores,full_proxy,2022_bear,2022-01-03,2022-12-30,-0.10968162752169519,-0.1625187418731131,-0.02609291493461352
